`Service/SDK,Purpose,Referenced Files,Env Vars,Notes
"Supabase (supabase-py)","Postgres DB + Auth for profiles, patients, consultations, OTPs, notifications","db/supabase_client.py; api.py; main.py; database.py","SUPABASE_URL; SUPABASE_KEY; SUPABASE_SERVICE_ROLE_KEY","Used via create_client() for DB and Admin Auth operations"
"Google GenAI (google-genai) / ADK (google-adk)","LLM (Gemini) for chat, multimodal vision, STT fallback, title generation; ADK runner/session management","api.py; services/vision.py; medivora_agent/","GOOGLE_API_KEY","Uses model 'gemini-2.5-flash' and ADK Runner/InMemorySessionService"
"ElevenLabs (HTTP API)","Primary speech-to-text (Scribe) and text-to-speech (TTS)","api.py","ELEVENLABS_API_KEY; ELEVENLABS_VOICE_ID; ELEVENLABS_MODEL_ID","Called via httpx to https://api.elevenlabs.io; fallback to Gemini STT / edge-tts for TTS"
"edge-tts","Fallback TTS (Microsoft Edge voices)","api.py","(none)","Async TTS stream used when ElevenLabs unavailable"
"Daily.co (REST API)","Video room creation and meeting tokens for video consultations","api.py","DAILY_API_KEY","Calls https://api.daily.co/v1 to create rooms and tokens"
"Razorpay (razorpay)","Payment gateway for consultation bookings","api.py; config.py; database.py","RAZORPAY_KEY_ID; RAZORPAY_KEY_SECRET","Uses razorpay.Client to create orders and handle payments"
"httpx","Async HTTP client for external APIs (Daily, ElevenLabs, etc.)","api.py; services/*","(none)","Used widely for async HTTP requests"
"tiktoken","Token counting utility for estimating model tokens","api.py","(none)","Optional import with fallback heuristic"
"reportlab","Generate prescription PDFs","pdf_generator.py","PDF_OUTPUT_DIR","Canvas-based PDF generation"
"diskcache","Local disk cache to reduce redundant DB queries","api.py","(none)","Cache path: data/api_cache"
"slowapi","Rate-limiting middleware","api.py; main.py","(none)","Limiter configured with get_remote_address"
"rich","Console logging (RichHandler)","api.py","(none)","Used in setup_logging() for prettier console logs"
"newrelic","APM instrumentation","main.py","NEW_RELIC_ENVIRONMENT; newrelic.ini","newrelic.agent.initialize() on startup"
"logfire","Structured observability (optional)","api.py","LOGFIRE_TOKEN","Configured if LOGFIRE_TOKEN is present; otherwise local mode"
"tenacity","Retry utilities for transient failures","api.py","(none)","Decorators used around ADK runner calls"
"python-jose","JWT handling for auth","requirements.txt; auth/jwt_handler.py","(none)","Used to create/verify JWT tokens"
"bcrypt","Password hashing and verification","auth/password_handler.py","(none)","Used for password hashing/verification"
"python-dotenv","Load environment variables from .env","main.py; api.py","(none)","load_dotenv() used on startup"
